ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      435    0.003    0.000    0.015    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2829(amin)
      435    0.006    0.000    0.006    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
      435    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
      870    0.002    0.000    0.002    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
      870    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      435    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      435    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      435    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      870    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2183(_sum_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2824(_amin_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:391(_average_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:1034(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      435    0.179    0.000  312.982    0.719 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:336(evolve)
      435   23.241    0.053  247.666    0.569 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:303(crossoverBitwise)
      435    0.008    0.000  224.113    0.515 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:194(calculateMinFitness)
     1305    0.295    0.000  224.087    0.172 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:409(getFitness)
      435   22.876    0.053  223.791    0.514 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:157(calculateFitnessesPolynomially)
21841406/6571138   40.584    0.000  215.524    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  4350435    9.574    0.000  200.191    0.000 <__array_function__ internals>:177(polyval)
  4350435  108.244    0.000  182.385    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\polynomial.py:704(polyval)
 17747664   31.834    0.000  135.690    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:386(getBinaryRepresentationOfGene)
 17747664   81.365    0.000  103.855    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:1959(binary_repr)
  1478972   16.340    0.000   84.781    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:326(<listcomp>)
  1478972   15.893    0.000   83.142    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:327(<listcomp>)
  4350435    8.881    0.000   71.979    0.000 <__array_function__ internals>:177(zeros_like)
  4350435   18.975    0.000   55.270    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:77(zeros_like)
      435   10.128    0.023   42.781    0.098 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:27(addRandomIndividuals)
  5598692    9.206    0.000   35.703    0.000 C:\Users\Georg\anaconda3\Lib\random.py:358(randint)
  2218963    5.046    0.000   30.636    0.000 <__array_function__ internals>:177(append)
  1478972   14.010    0.000   30.437    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:332(<listcomp>)
  5598692   16.710    0.000   26.497    0.000 C:\Users\Georg\anaconda3\Lib\random.py:284(randrange)
      435    5.710    0.013   22.105    0.051 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:460(mutate)
  2218963    4.780    0.000   21.588    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:5444(append)
  4350435   10.276    0.000   18.274    0.000 <__array_function__ internals>:177(empty_like)
  2218963    5.098    0.000   16.493    0.000 <__array_function__ internals>:177(concatenate)
  8873832   12.724    0.000   16.427    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:398(getSignedIntegerRepresentationOfGene)
  4350435    9.692    0.000   15.845    0.000 <__array_function__ internals>:177(copyto)
  5598692    6.913    0.000    8.399    0.000 C:\Users\Georg\anaconda3\Lib\random.py:235(_randbelow_with_getrandbits)
 17676648    6.055    0.000    6.055    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:2031(warn_if_insufficient)
 17676648    5.444    0.000    5.444    0.000 {built-in method builtins.max}
  1478972    4.033    0.000    4.033    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:331(<listcomp>)
 24899354    3.919    0.000    3.919    0.000 {built-in method builtins.bin}
 34543740    3.916    0.000    3.916    0.000 {built-in method _operator.index}
 31556767    3.182    0.000    3.182    0.000 {built-in method builtins.len}
  4350870    2.187    0.000    2.187    0.000 {built-in method numpy.zeros}
 10453942    2.163    0.000    2.163    0.000 {method 'zfill' of 'str' objects}
  8873832    2.071    0.000    2.071    0.000 {built-in method _struct.pack}
  8873832    1.633    0.000    1.633    0.000 {built-in method _struct.unpack}
  2218528    1.271    0.000    1.271    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  4350435    1.110    0.000    1.110    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\polynomial.py:700(_polyval_dispatcher)
  4350435    1.080    0.000    1.080    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:1079(copyto)
  4352610    0.960    0.000    0.960    0.000 {built-in method builtins.isinstance}
  4350435    0.933    0.000    0.933    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:73(_zeros_like_dispatcher)
      435    0.913    0.002    0.913    0.002 {built-in method numpy.array}
  4350435    0.897    0.000    0.897    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:84(empty_like)
  7112742    0.882    0.000    0.882    0.000 {method 'getrandbits' of '_random.Random' objects}
  2957944    0.839    0.000    0.839    0.000 {method 'join' of 'str' objects}
  6570703    0.791    0.000    0.791    0.000 {built-in method numpy.asanyarray}
  4350435    0.729    0.000    0.729    0.000 {built-in method numpy.asarray}
  6568528    0.722    0.000    0.722    0.000 {method 'random' of '_random.Random' objects}
      435    0.004    0.000    0.708    0.002 <__array_function__ internals>:177(sum)
      870    0.009    0.000    0.708    0.001 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      435    0.004    0.000    0.700    0.002 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
     1305    0.700    0.001    0.700    0.001 {method 'reduce' of 'numpy.ufunc' objects}
  5598692    0.605    0.000    0.605    0.000 {method 'bit_length' of 'int' objects}
  2218963    0.542    0.000    0.542    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:5440(_append_dispatcher)
  2218963    0.472    0.000    0.472    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:152(concatenate)
  1478972    0.225    0.000    0.225    0.000 {method 'append' of 'list' objects}
      435    0.001    0.000    0.223    0.001 <__array_function__ internals>:177(argsort)
      435    0.001    0.000    0.220    0.001 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:1038(argsort)
      435    0.001    0.000    0.218    0.001 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      435    0.217    0.000    0.217    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      435    0.002    0.000    0.031    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:57(calculateAverageFitness)
      435    0.002    0.000    0.028    0.000 <__array_function__ internals>:177(average)
      435    0.002    0.000    0.024    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:396(average)
      435    0.002    0.000    0.020    0.000 {method 'mean' of 'numpy.ndarray' objects}
      435    0.002    0.000    0.020    0.000 <__array_function__ internals>:177(amin)
      435    0.007    0.000    0.018    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\_methods.py:164(_mean)
      435    0.003    0.000    0.015    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2829(amin)
      435    0.006    0.000    0.006    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
      435    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
      870    0.002    0.000    0.002    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
      870    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      435    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      435    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      435    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      870    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2183(_sum_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2824(_amin_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:391(_average_dispatcher)
      435    0.000    0.000    0.000    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:1034(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



population_count: 10000 random_select: 0.6      Min Fitness: 0.00       Avg Fitness: 42799356839.11     Generations: 435.0
         695981915 function calls (664559433 primitive calls) in 1089.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      893    0.364    0.000  630.511    0.706 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:336(evolve)
      893   46.399    0.052  494.959    0.554 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:303(crossoverBitwise)
      893    0.016    0.000  458.664    0.514 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:194(calculateMinFitness)
     2679    0.607    0.000  458.610    0.171 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:409(getFitness)
      893   46.781    0.052  458.001    0.513 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:157(calculateFitnessesPolynomially)
44986750/13564268   83.213    0.000  441.687    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  8930893   19.734    0.000  409.755    0.000 <__array_function__ internals>:177(polyval)
  8930893  221.527    0.000  373.288    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\polynomial.py:704(polyval)
 35539080   63.745    0.000  271.222    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:386(getBinaryRepresentationOfGene)
 35539080  162.594    0.000  207.478    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:1959(binary_repr)
  2961590   32.754    0.000  169.577    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:326(<listcomp>)
  2961590   31.766    0.000  166.165    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:327(<listcomp>)
  8930893   18.227    0.000  147.336    0.000 <__array_function__ internals>:177(zeros_like)
  8930893   38.888    0.000  113.245    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:77(zeros_like)
      893   21.160    0.024   88.890    0.100 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:27(addRandomIndividuals)
 11413476   18.679    0.000   72.500    0.000 C:\Users\Georg\anaconda3\Lib\random.py:358(randint)
  4629803   10.427    0.000   63.530    0.000 <__array_function__ internals>:177(append)
  2961590   27.945    0.000   60.774    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:332(<listcomp>)
 11413476   34.012    0.000   53.821    0.000 C:\Users\Georg\anaconda3\Lib\random.py:284(randrange)
      893   11.812    0.013   45.782    0.051 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:460(mutate)
  4629803    9.958    0.000   44.827    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:5444(append)
  8930893   21.065    0.000   37.469    0.000 <__array_function__ internals>:177(empty_like)
  4629803   10.585    0.000   34.219    0.000 <__array_function__ internals>:177(concatenate)
 17769540   25.432    0.000   32.830    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:398(getSignedIntegerRepresentationOfGene)
  8930893   19.849    0.000   32.452    0.000 <__array_function__ internals>:177(copyto)
 11413476   13.987    0.000   16.988    0.000 C:\Users\Georg\anaconda3\Lib\random.py:235(_randbelow_with_getrandbits)
 35382446   12.081    0.000   12.081    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:2031(warn_if_insufficient)
 35382446   10.901    0.000   10.901    0.000 {built-in method builtins.max}
  2961590    8.033    0.000    8.033    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:331(<listcomp>)
 49935235    7.832    0.000    7.832    0.000 {built-in method builtins.bin}
 69779508    7.823    0.000    7.823    0.000 {built-in method _operator.index}
 63452896    6.393    0.000    6.393    0.000 {built-in method builtins.len}
  8931786    4.460    0.000    4.460    0.000 {built-in method numpy.zeros}
 20829657    4.286    0.000    4.286    0.000 {method 'zfill' of 'str' objects}
 17769540    4.142    0.000    4.142    0.000 {built-in method _struct.pack}
 17769540    3.255    0.000    3.255    0.000 {built-in method _struct.unpack}
  4628910    2.669    0.000    2.669    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  8930893    2.280    0.000    2.280    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\polynomial.py:700(_polyval_dispatcher)
  8930893    2.213    0.000    2.213    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:1079(copyto)
  8935358    1.963    0.000    1.963    0.000 {built-in method builtins.isinstance}
  8930893    1.892    0.000    1.892    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\numeric.py:73(_zeros_like_dispatcher)
      893    1.846    0.002    1.846    0.002 {built-in method numpy.array}
  8930893    1.837    0.000    1.837    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:84(empty_like)
 14415586    1.774    0.000    1.774    0.000 {method 'getrandbits' of '_random.Random' objects}
  5923180    1.676    0.000    1.676    0.000 {method 'join' of 'str' objects}
 13563375    1.625    0.000    1.625    0.000 {built-in method numpy.asanyarray}
  8930893    1.492    0.000    1.492    0.000 {built-in method numpy.asarray}
 13558910    1.491    0.000    1.491    0.000 {method 'random' of '_random.Random' objects}
      893    0.008    0.000    1.434    0.002 <__array_function__ internals>:177(sum)
     1786    0.019    0.000    1.434    0.001 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      893    0.009    0.000    1.418    0.002 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
     2679    1.416    0.001    1.416    0.001 {method 'reduce' of 'numpy.ufunc' objects}
 11413476    1.228    0.000    1.228    0.000 {method 'bit_length' of 'int' objects}
  4629803    1.121    0.000    1.121    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:5440(_append_dispatcher)
  4629803    0.977    0.000    0.977    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\multiarray.py:152(concatenate)
      893    0.003    0.000    0.454    0.001 <__array_function__ internals>:177(argsort)
  2961590    0.450    0.000    0.450    0.000 {method 'append' of 'list' objects}
      893    0.003    0.000    0.448    0.001 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:1038(argsort)
      893    0.002    0.000    0.445    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      893    0.442    0.000    0.442    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      893    0.005    0.000    0.063    0.000 C:\Users\Georg\OneDrive\Documents\Education\University\Semester 7\EE40098 Computational Intelligence\Coursework\Coursework B\./scripts\GeneticAlgorithm.py:57(calculateAverageFitness)
      893    0.003    0.000    0.057    0.000 <__array_function__ internals>:177(average)
      893    0.005    0.000    0.048    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\lib\function_base.py:396(average)
      893    0.004    0.000    0.041    0.000 {method 'mean' of 'numpy.ndarray' objects}
      893    0.005    0.000    0.041    0.000 <__array_function__ internals>:177(amin)
      893    0.013    0.000    0.037    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\_methods.py:164(_mean)
      893    0.006    0.000    0.032    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2829(amin)
      893    0.012    0.000    0.013    0.000 C:\Users\Georg\anaconda3\Lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
      893    0.006    0.000    0.006    0.000 {built-in method numpy.arange}
